Links,Imagenes,,Temporada,Color,Estilo,Estampado,Escote,Longitud_manga,Corte,Material,Precio,Ventas
https://www.shein.com.mx/SHEIN-Clasi-Ditsy-Floral-Print-Shirred-Waist-Dress-p-17128534.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/06/02/1685674657c31205985536fde05d6d75e7322f0b34_thumbnail_405x552.jpg,,Verano,Multicolor,Bohemio,Floral,V,Sin mangas,A línea,Poliuretano,$290.00,100
https://www.shein.com.mx/EMERY-ROSE-Patchwork-Print-Smock-Dress-p-15228876.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/04/25/1682390809ec733d11904ee384b0e7290f322fed61_thumbnail_405x552.jpg,,Verano,Multicolor,Bohemio,Floral,Redondo,Generico,Natural,Algodón,$145.53,17
https://www.shein.com.mx/SHEIN-BAE-Sparkly-Mesh-Splice-Sleeveless-Dress-p-26674175.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/12/05/95/1701766835304d430819b278d9e2e97e5cb80f7d28_thumbnail_405x552.jpg,,Primavera,Negro,Fiesta,Liso,Alzado,Sin mangas,Ajustado,Poliuretano,$155.54,15
https://www.shein.com.mx/SHEIN-Frenchy-Square-Neck-Puff-Sleeve-Ditsy-Floral-Dress-p-10143212.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2022/03/28/1648455331419db149484ded8487578b886e8d11a8_thumbnail_405x552.jpg,,Verano,Multicolor,Bohemio,Floral,Recto,Manga corta,A línea,Poliuretano,$209.44,1000
https://www.shein.com.mx/SHEIN-VCAY-Botanical-Print-Criss-Cross-Halter-Summer-Beach-Women-Floral-Dress-p-22829611.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/09/08/77/169414409738f44755640f5c3ce9c4901e309f5e6c_thumbnail_405x552.jpg,,Verano,Azul,Bohemio,Floral,Corazon,Manga capa,Natural,Poliuretano,$133.59,12
https://www.shein.com.mx/SHEIN-Frenchy-Floral-Print-Puff-Sleeve-Shirred-Layered-Hem-Dress-p-8359302.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2022/01/05/1641361815ea32274b424bf392be0bd1a4c4ba8fe5_thumbnail_405x552.jpg,,Invierno,Multicolor,Bohemio,Floral,Recto,Manga corta,A línea,Poliuretano,$308.06,600
https://www.shein.com.mx/SHEIN-Essnce-Women-s-Solid-Color-Hollow-Out-Split-Dress-p-29880857.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2024/02/04/b0/1707009604c3d2b57978845d06a04c3423a12957c9_thumbnail_405x552.jpg,,Primavera,Gris,Elegante,Liso,Redondo,Manga larga,Ajustado,Algodón,$55.00,20
https://www.shein.com.mx/SHEIN-LUNE-Flounce-Hem-Sleeveless-Dress-p-26866920.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/11/27/be/1701062971ce5026fe03c35c1d5f54644d5f7bcb73_thumbnail_405x552.jpg,,Verano,Cafe,Casual,Generico,Redondo,Sin mangas,Ajustado,Poliamida,$173.74,700
https://www.shein.com.mx/SHEIN-VCAY-Ditsy-Floral-Flounce-Hem-Dress-p-942305.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2019/11/26/1574758200344462b7fa0e534607d0344a7d7a0839_thumbnail_405x552.jpg,,Invierno,Verde,Casual,Floral,Redondo,Manga corta,A línea,Algodón,$341.00,10
https://www.shein.com.mx/Floral-Print-Wrap-Hem-Dress-p-18113777.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/06/26/168776638335e627df63eb84b31c3f9d5bf6b09fe9_thumbnail_405x552.jpg,,Otoño,Cafe,Bohemio,Floral,V,Sin mangas,A línea,Algodón,$219.00,900
